Type,Play_ID,Character_ID,nLines
 Comedies,As You Like It,Adam,10
 Comedies,As You Like It,Amiens,10
 Comedies,As You Like It,Audrey,12
 Comedies,As You Like It,Celia,108
 Comedies,As You Like It,Charles,8
 Comedies,As You Like It,Corin,24
 Comedies,As You Like It,Dennis,2
 Comedies,As You Like It,Duke,32
 Comedies,As You Like It,Frederick,20
 Comedies,As You Like It,Hymen,1
 Comedies,As You Like It,Jaques (lord),57
 Comedies,As You Like It,Jaques (son),2
 Comedies,As You Like It,Le Beau,14
 Comedies,As You Like It,Oliver,37
 Comedies,As You Like It,Orlando,120
 Comedies,As You Like It,Phebe,23
 Comedies,As You Like It,Rosalind,201
 Comedies,As You Like It,Silvius,24
 Comedies,As You Like It,Sir Oliver Martext,3
 Comedies,As You Like It,Touchstone,74
 Comedies,As You Like It,William,11
 Comedies,Comedy Of Errors,Adriana,79
 Comedies,Comedy Of Errors,Aegeon,17
 Comedies,Comedy Of Errors,Aemilia,16
 Comedies,Comedy Of Errors,Angelo,31
 Comedies,Comedy Of Errors,Antipholus of Ephesus,76
 Comedies,Comedy Of Errors,Antipholus of Syracuse,103
 Comedies,Comedy Of Errors,Balthazar,5
 Comedies,Comedy Of Errors,Courtezan,11
 Comedies,Comedy Of Errors,Dromio of Ephesus,63
 Comedies,Comedy Of Errors,Dromio of Syracuse,99
 Comedies,Comedy Of Errors,Luce,7
 Comedies,Comedy Of Errors,Luciana,43
 Comedies,Comedy Of Errors,Pinch,6
 Comedies,Comedy Of Errors,Solinus,22
 Comedies,Merchant Of Venice,Antonio,47
 Comedies,Merchant Of Venice,Balthasar,1
 Comedies,Merchant Of Venice,Bassanio,73
 Comedies,Merchant Of Venice,Duke (of Venice),18
 Comedies,Merchant Of Venice,Gratiano,48
 Comedies,Merchant Of Venice,Jessica,26
 Comedies,Merchant Of Venice,Launcelot Gobbo,44
 Comedies,Merchant Of Venice,Leonardo,2
 Comedies,Merchant Of Venice,Lorenzo,47
 Comedies,Merchant Of Venice,Nerissa,36
 Comedies,Merchant Of Venice,Old Gobbo,19
 Comedies,Merchant Of Venice,Portia,117
 Comedies,Merchant Of Venice,Prince of Arragon,4
 Comedies,Merchant Of Venice,Prince of Morocco,7
 Comedies,Merchant Of Venice,Salanio,18
 Comedies,Merchant Of Venice,Salarino,27
 Comedies,Merchant Of Venice,Salerio,6
 Comedies,Merchant Of Venice,Shylock,79
 Comedies,Merchant Of Venice,Stephano,3
 Comedies,Merchant Of Venice,Tubal,8
 Comedies,Midsummer Night's Dream,Bottom,59
 Comedies,Midsummer Night's Dream,Cobweb,4
 Comedies,Midsummer Night's Dream,Demetrius,48
 Comedies,Midsummer Night's Dream,Egeus,7
 Comedies,Midsummer Night's Dream,Fairy,4
 Comedies,Midsummer Night's Dream,Flute,18
 Comedies,Midsummer Night's Dream,Helena,36
 Comedies,Midsummer Night's Dream,Hermia,48
 Comedies,Midsummer Night's Dream,Hippolyta,14
 Comedies,Midsummer Night's Dream,Lysander,50
 Comedies,Midsummer Night's Dream,Moth,2
 Comedies,Midsummer Night's Dream,Mustardseed,5
 Comedies,Midsummer Night's Dream,Oberon,29
 Comedies,Midsummer Night's Dream,Peaseblossom,4
 Comedies,Midsummer Night's Dream,Philostrate,6
 Comedies,Midsummer Night's Dream,Puck,33
 Comedies,Midsummer Night's Dream,Quince,40
 Comedies,Midsummer Night's Dream,Snout,9
 Comedies,Midsummer Night's Dream,Snug,4
 Comedies,Midsummer Night's Dream,Starveling,7
 Comedies,Midsummer Night's Dream,Theseus,48
 Comedies,Midsummer Night's Dream,Titania,23
 Comedies,Taming Of The Shrew,Baptista Minola,68
 Comedies,Taming Of The Shrew,Bianca,29
 Comedies,Taming Of The Shrew,Biondello,39
 Comedies,Taming Of The Shrew,Christopher Sly,24
 Comedies,Taming Of The Shrew,Curtis,20
 Comedies,Taming Of The Shrew,Gremio,58
 Comedies,Taming Of The Shrew,Grumio,63
