To,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,NA,576,1022,495,6611,2177,566,0,97,16631,23008,1695,212,3707,1445,671,1261,1590,1508,151,1903,330,2195,122,7602,2746,294,33,254,0,812,826,3047,6419,0,2694,1169,498,1008,0,2952,52,9960,7689,525,0,3535,677,42,874,539
Alaska,423,NA,1176,65,3593,1401,0,79,0,1100,2208,561,361,715,126,142,1831,703,273,147,0,44,133,236,92,281,832,0,534,32,270,198,910,714,58,100,806,1301,574,0,281,370,243,1675,725,86,462,4888,0,260,291
Arizona,894,1946,NA,1205,64756,11895,1596,420,276,9306,4242,2339,2775,13387,5443,2649,3383,1105,679,355,1467,4028,6525,5461,568,3708,2414,1312,7350,224,3971,9453,3029,4605,1662,3839,7494,9279,4651,51,1768,2408,1834,14923,9979,817,8809,13897,1419,6736,925
Arkansas,2057,103,836,NA,4026,3459,186,0,69,1351,2683,241,0,2594,335,1115,979,1356,3530,178,319,302,928,449,3699,6911,36,1411,1194,0,250,225,590,939,39,192,5773,389,1146,0,70,0,2635,13487,619,0,1333,2257,75,539,178
California,3045,4206,33757,4282,NA,22540,2932,1372,6319,25354,14663,14239,3598,21539,7073,3826,3293,4206,4933,2513,10637,14062,11442,10897,3174,7580,1272,1876,24656,889,11988,8087,40877,14268,2664,9652,6023,18919,13090,2265,5137,1333,6158,39109,11114,400,14348,27973,1150,7354,2674
Colorado,2328,1698,13015,808,26909,NA,2882,0,1360,13546,6128,2795,1565,11369,2672,3243,4634,1736,3361,390,3467,2196,4285,3725,1319,6246,1334,3050,4366,1360,2731,5073,8612,6059,1801,3674,3828,3473,4586,63,1945,1735,4035,20725,3642,647,7148,4487,309,3243,3657
Connecticut,1102,331,309,960,3979,562,NA,0,433,4629,1129,449,0,1733,488,162,329,43,330,941,1716,8519,614,780,0,248,0,0,34,750,4496,0,22160,1651,64,1124,45,62,3427,3255,1054,0,394,2679,0,1131,2320,631,286,237,0
Delaware,148,80,22,0,598,106,1263,NA,113,708,293,68,30,953,26,0,0,36,0,116,6985,509,11,0,105,230,94,0,27,0,5656,0,2218,338,0,272,0,0,10139,0,212,23,34,515,0,112,1021,181,158,0,0
District of Columbia ,140,77,744,0,3908,531,1225,278,NA,2717,1105,103,0,2418,957,218,0,233,197,118,12778,1974,922,542,224,566,17,190,356,168,1494,1,4762,1367,83,659,122,125,2468,268,382,0,452,2213,249,0,9847,418,296,242,0
Florida,11353,1852,10312,4136,28420,9880,15285,3143,1752,NA,39578,1326,885,23319,14370,6630,2392,8588,5375,2859,17648,19882,19530,6778,6621,11656,677,1870,4273,5292,33966,3091,60472,28726,1127,29655,3124,1258,30258,4894,15904,535,18647,31153,3531,1627,29485,6152,3979,11298,454
